URL,Principals,Assistant Principals
https://www.sfusd.edu/school/ap-giannini-middle-school,Tai-Sun Schoeman,Heidi Smoot</li><li>Lizzy Hull Barnes
https://www.sfusd.edu/school/abraham-lincoln-high-school,Sharimar Manalang,Michael Cress</li><li>Jordan Loey</li><li>Denyse Barris-Jones
https://www.sfusd.edu/school/access-sfusd-bay-street,Kara Schinella,
https://www.sfusd.edu/school/accesssfusd-arc,Kara Schinella,
https://www.sfusd.edu/school/alamo-elementary-school,Rosa A. Fong,
https://www.sfusd.edu/school/alice-fong-yu-alternative-school-k-8,Liana Szeto,Kevin Chan
https://www.sfusd.edu/school/alvarado-elementary-school,Michelle Sundby,Amy Youngs
https://www.sfusd.edu/school/aptos-middle-school,Dimitric Roseboro,Ronique Williams</li><li>Kia Clark
https://www.sfusd.edu/school/argonne-early-education-school,Nkechi Nwankwo,
https://www.sfusd.edu/school/argonne-elementary-school-extended-year,Rebecca Levison,
https://www.sfusd.edu/school/balboa-high-school,Catherine Arenson,Norma Hernandez</li><li>Kelly Lee</li><li>John Nepomuceno
https://www.sfusd.edu/school/bessie-carmichael-school-prek-8-filipino-education-center,Rasheena Bell,Jaymie Santiago
https://www.sfusd.edu/school/bret-harte-elementary-school,Jeremy Hilinski,Kelli Riggs
https://www.sfusd.edu/school/bryant-elementary-school,Gilberto Parada,Dana DeFranco
https://www.sfusd.edu/school/buena-vista-horace-mann-k-8-community-school,Claudia Delarios-Moran,Veronica Granich-Reilly
https://www.sfusd.edu/school/care-bayview,Sylvia Lepe Reyes,Filiberto Chavez-Guerrero
https://www.sfusd.edu/school/care-buchanan,Sylvia Lepe Reyes,Filiberto Chavez-Guerrero
https://www.sfusd.edu/school/care-middle-school,Sylvia Lepe Reyes,Filiberto Chavez-Guerrero
https://www.sfusd.edu/school/cesar-chavez-elementary-school,Lindsay Dowdle,Angelica Trejo-Ortiz
https://www.sfusd.edu/school/chinese-immersion-school-de-avila-zhongwenchenjinxuexiao,Mia Yee,
https://www.sfusd.edu/school/civic-center-secondary-school,Angelina Gonzalez,Kniesha Primes
https://www.sfusd.edu/school/claire-lilienthal-alternative-school-k-2-madison-campus,Molly Pope,Helen Kyungsun Youn
https://www.sfusd.edu/school/claire-lilienthal-alternative-school-k-8,Molly Pope,Helen Kyungsun Youn
https://www.sfusd.edu/school/clarendon-alternative-elementary-school,Carrie Maloney,
https://www.sfusd.edu/school/cleveland-elementary-school,Marlon Escobar,Lenar Ruiz
https://www.sfusd.edu/school/commodore-sloat-elementary-school,Fowzigiah Abdolcader,
https://www.sfusd.edu/school/commodore-stockton-early-education-school,Jenny Yu,
https://www.sfusd.edu/school/daniel-webster-elementary-school,Anita Parameswaran,
https://www.sfusd.edu/school/dianne-feinstein-elementary-school,Christina Jung,
https://www.sfusd.edu/school/dolores-huerta-elementary-school,Edward Garnica,
https://www.sfusd.edu/school/downtown-high-school,Todd Williams,Lara Schmidt
https://www.sfusd.edu/school/dr-charles-r-drew-college-preparatory-academy,Vidrale Franklin,
https://www.sfusd.edu/school/dr-george-washington-carver-elementary-school,Makaela Manning,
https://www.sfusd.edu/school/dr-martin-luther-king-jr-academic-middle-school,Tyson Fechter,Byron Gougoumis
https://www.sfusd.edu/school/dr-william-l-cobb-elementary-school,Jeri Dean,
https://www.sfusd.edu/school/er-taylor-elementary-school,David Norris,Shirley Duong
https://www.sfusd.edu/school/edwin-and-anita-lee-newcomer-school-limengxiankanglixinyiminxuexiao,Lisa Kwong,
https://www.sfusd.edu/school/el-dorado-elementary-school,Danielle Cordova-Camou,
https://www.sfusd.edu/school/everett-middle-school,Heidi Avelina Smith,Justin Kim</li><li>Linnette Alvarenga Haynes
https://www.sfusd.edu/school/francis-scott-key-elementary-school,Cynthia Lam,Corrina McGraw
https://www.sfusd.edu/school/francisco-middle-school,Sang-Yeon Lee,Amy Abdallah</li><li>Michael Colvin
https://www.sfusd.edu/mccoppin,Bennett Lee,
https://www.sfusd.edu/school/galileo-academy-science-technology,De Trice Rodgers,Traci Avar</li><li>Fernando Flores-Cardenas</li><li>Jacob Reid
https://www.sfusd.edu/school/garfield-elementary-school,Karen Maruoka,
https://www.sfusd.edu/school/george-peabody-elementary-school,Willem Vroegh,
https://www.sfusd.edu/school/george-r-moscone-elementary-school,Sarah Twiest,
https://www.sfusd.edu/school/george-washington-high-school,John Schlauraff,Paul Fan</li><li>Ed Marquez</li><li>Francisco Morales-O'Connor
https://www.sfusd.edu/school/glen-park-elementary-school,Liz Zarr,
https://www.sfusd.edu/school/gordon-j-lau-elementary-school,Gloria Choy,Lisa Kwong
https://www.sfusd.edu/school/grattan-elementary-school,Catherine Walter,Jazmin Rosales
https://www.sfusd.edu/school/guadalupe-elementary-school,Dr. Raj Sharma,
https://www.sfusd.edu/school/harvey-milk-civil-rights-academy,Charles Glover,
https://www.sfusd.edu/school/herbert-hoover-middle-school,Adrienne Sullivan Smith,Julia Coffa</li><li>Kiani Mitchell
https://www.sfusd.edu/school/hillcrest-elementary-school,Patricia Theel,
https://www.sfusd.edu/school/hilltop-el-camino-alternativo-schools,Elisa Villafuerte,Lili Rodriguez-Blea
https://www.sfusd.edu/school/ida-b-wells-high-school,Katie Pringle,Eric Cuneo
https://www.sfusd.edu/school/independence-high-school,Anastasia Klafter,Ashley Seaphan
https://www.sfusd.edu/school/james-denman-middle-school,Jenny Ujiie,Mary Maher</li><li>Tricia Land
https://www.sfusd.edu/school/james-lick-middle-school,Marisol Arkin,Jennifer Fried</li><li>Bianca Woods
https://www.sfusd.edu/school/jean-parker-elementary-school,Sara Saldaña,
https://www.sfusd.edu/school/jefferson-early-education-school,Penelope Ho,
https://www.sfusd.edu/school/jefferson-elementary-school,Craig Berger,
https://www.sfusd.edu/school/john-mclaren-early-education-school,Anna Tobin-Wallis,
https://www.sfusd.edu/school/john-muir-elementary-school,Donald Frazier,
https://www.sfusd.edu/school/john-oconnell-high-school,Amy Abero,Maria Giselle Ramirez </li><li>Fakhra Shah
https://www.sfusd.edu/school/john-yehall-chin-elementary-school,Allen Lee,
https://www.sfusd.edu/school/jose-ortega-elementary-school,Paula Antram,Betty Cheung
https://www.sfusd.edu/school/june-jordan-school-equity,Amanda Chui,
https://www.sfusd.edu/school/junipero-serra-annex-early-education-school,Danielle Loughridge,
https://www.sfusd.edu/school/junipero-serra-elementary-school,Katerina Palomares,
https://www.sfusd.edu/school/lafayette-elementary-school,Krishna Kassebaum,Sarah Seaton
https://www.sfusd.edu/school/lakeshore-alternative-elementary-school,Matthew Hartford,Ana Sanchez Balsells
https://www.sfusd.edu/school/lawton-alternative-school-k-8,Armen Sedrakian,Yun Ji Chai
https://www.sfusd.edu/school/leola-m-havard-early-education-school,Kamael Burch,
https://www.sfusd.edu/school/leonard-r-flynn-elementary-school,Tyler Woods,
https://www.sfusd.edu/school/longfellow-elementary-school,Kath Cuellar Burns,Heidi Dobrott
https://www.sfusd.edu/school/lowell-high-school,Jan Bautista,Isaac Alcantar</li><li>Matthew McDonell</li><li>Chris Lanier</li><li>Abby Matthews
https://www.sfusd.edu/school/malcolm-x-academy-elementary-school,Matthew Fitzsimmon,Kerri Seow
https://www.sfusd.edu/school/marina-middle-school,Michael Harris,Luisa Horde</li><li>William Jameson
https://www.sfusd.edu/school/marshall-elementary-school,Noah Ingber,
https://www.sfusd.edu/school/mckinley-elementary-school,John Collins,
https://www.sfusd.edu/school/miraloma-elementary-school,Rochelle Gumpert,
https://www.sfusd.edu/school/mission-education-center-elementary-school,Albert Maldonado,
https://www.sfusd.edu/school/mission-high-school,Valerie Forero,Sophia AguileraMoran</li><li>Callen Taylor
https://www.sfusd.edu/school/monroe-elementary-school,Telmo Vasquez,
https://www.sfusd.edu/school/new-traditions-creative-arts-elementary-school,Myra Quadros,
https://www.sfusd.edu/school/noriega-early-education-school,Ivy Ng,
https://www.sfusd.edu/school/paul-revere-prek-8-school,William Eaton,Christina Biondini
https://www.sfusd.edu/school/phillip-and-sala-burton-academic-high-school,Suniqua Thomas,Laura Langlois Rashidi</li><li>Marlene Ligsay</li><li>Elizabeth MacCain
https://www.sfusd.edu/school/presidio-middle-school,Kevin Chui,Maria Lourdes Nocedal-Geaga</li><li>Ambar Panjabi
https://www.sfusd.edu/school/project-search,Kara Schinella,
https://www.sfusd.edu/school/raoul-wallenberg-high-school,Tanya Harris,Craig Laupheimer</li><li>Cleveland McKinney
