URL,Website H3 Exists,Website URL
https://www.sfusd.edu/school/ap-giannini-middle-school,Yes,https://apgsf.com/
https://www.sfusd.edu/school/abraham-lincoln-high-school,Yes,http://lincolnhs.sfusd.edu/
https://www.sfusd.edu/school/access-sfusd-bay-street,No,N/A
https://www.sfusd.edu/school/accesssfusd-arc,No,N/A
https://www.sfusd.edu/school/alamo-elementary-school,No,N/A
https://www.sfusd.edu/school/alice-fong-yu-alternative-school-k-8,Yes,http://www.afypa.org/
https://www.sfusd.edu/school/alvarado-elementary-school,Yes,http://alvaradoschool.net/
https://www.sfusd.edu/school/aptos-middle-school,Yes,https://www.sfusd.edu/school/aptos-middle-school
https://www.sfusd.edu/school/argonne-early-education-school,Yes,https://sites.google.com/sfusd.edu/argonneees/home
https://www.sfusd.edu/school/argonne-elementary-school-extended-year,No,N/A
https://www.sfusd.edu/school/balboa-high-school,No,N/A
https://www.sfusd.edu/school/bessie-carmichael-school-prek-8-filipino-education-center,No,N/A
https://www.sfusd.edu/school/bret-harte-elementary-school,No,N/A
https://www.sfusd.edu/school/bryant-elementary-school,No,N/A
https://www.sfusd.edu/school/buena-vista-horace-mann-k-8-community-school,Yes,http://www.wearebvhm.com/
https://www.sfusd.edu/school/care-bayview,No,N/A
https://www.sfusd.edu/school/care-buchanan,No,N/A
https://www.sfusd.edu/school/care-middle-school,No,N/A
https://www.sfusd.edu/school/cesar-chavez-elementary-school,No,N/A
https://www.sfusd.edu/school/chinese-immersion-school-de-avila-zhongwenchenjinxuexiao,No,N/A
https://www.sfusd.edu/school/civic-center-secondary-school,No,N/A
https://www.sfusd.edu/school/claire-lilienthal-alternative-school-k-2-madison-campus,Yes,http://www.clairelilienthal.org/
https://www.sfusd.edu/school/claire-lilienthal-alternative-school-k-8,Yes,http://www.clairelilienthal.org/
https://www.sfusd.edu/school/clarendon-alternative-elementary-school,Yes,https://secondcommunity.org/
https://www.sfusd.edu/school/cleveland-elementary-school,No,N/A
https://www.sfusd.edu/school/commodore-sloat-elementary-school,Yes,http://commodoresloat.com/
https://www.sfusd.edu/school/commodore-stockton-early-education-school,No,N/A
https://www.sfusd.edu/school/daniel-webster-elementary-school,Yes,http://danielwebster-sf.com/
https://www.sfusd.edu/school/dianne-feinstein-elementary-school,No,N/A
https://www.sfusd.edu/school/dolores-huerta-elementary-school,Yes,https://wearedoloreshuerta.com/
https://www.sfusd.edu/school/downtown-high-school,Yes,https://downtownhs.sfusd.edu/
https://www.sfusd.edu/school/dr-charles-r-drew-college-preparatory-academy,No,N/A
https://www.sfusd.edu/school/dr-george-washington-carver-elementary-school,No,N/A
https://www.sfusd.edu/school/dr-martin-luther-king-jr-academic-middle-school,Yes,http://mlkms.sfusd.edu/
